name,market,funding_total_usd,country_code,region,city,funding_rounds,founded_month,founded_quarter,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,age_first_funding,age_last_funding,status_binary,total_investment
SlapVid,Games ,-   ,USA,Pittsburgh,Pittsburgh,1.0,1.0,1.0,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Slime Sandwich,Games ," 27,50,000 ",USA,Denver,Denver,2.0,1.0,1.0,2009.0,1000000.0,1750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7479452054794521,1.2438356164383562,0,2750000.0
Sling Media,Hardware + Software ," 1,45,00,000 ",USA,SF Bay Area,Foster City,2.0,1.0,1.0,2004.0,0.0,14500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8356164383561644,1.498630136986301,1,14500000.0
Slipstream,Curated Web ," 20,000 ",USA,SF Bay Area,Oakland,1.0,6.0,2.0,2010.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2493150684931507,0.2493150684931507,0,20000.0
SLR Technology Solutions,Other," 1,50,000 ",GBR,Liverpool,Liverpool,1.0,1.0,1.0,2006.0,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7945205479452054,0.7945205479452054,0,150000.0
Smallaa,Social Media ," 30,00,000 ",USA,SF Bay Area,San Jose,1.0,1.0,1.0,2008.0,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1643835616438356,0.1643835616438356,0,3000000.0
Smalltown,Advertising ," 40,00,000 ",USA,SF Bay Area,San Mateo,1.0,1.0,1.0,2005.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7945205479452054,0.7945205479452054,0,4000000.0
SmApper Technologies,Web Hosting ," 96,64,366 ",AUT,AUT - Other,Kufstein,2.0,1.0,1.0,2005.0,0.0,9664366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.578082191780822,5.016438356164383,0,9664366.0
Smart Living Studios,Software ," 1,27,839 ",USA,Chicago,Barrington,1.0,1.0,1.0,2009.0,0.0,127839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9726027397260273,3.9726027397260273,0,127839.0
smartclip,Advertising ,-   ,DEU,Hamburg,Hamburg,1.0,4.0,2.0,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931506849315069,0.6931506849315069,1,0.0
